data_size, accuracy
28,0.5138888888888888
56,0.525
84,0.525
281,0.3
562,0.5166666666666667
843,0.5166666666666667
1124,0.3638888888888889
1405,0.6611111111111111
1686,0.6611111111111111
1967,0.6611111111111111
2247,0.6611111111111111
2529,0.6611111111111111
2809,0.6611111111111111
