modeling cost,model size
9.936447620391846,562
interval,error,accuracy
30,1.643645621181241,0.23333333333333334
modeling cost,model size
9.888593196868896,562
interval,error,accuracy
20,2.1248219735502865,0.24444444444444444
30,1.643645621181241,0.23333333333333334
40,1.382810590631351,0.2222222222222222
50,1.423299389002059,0.19444444444444445
60,1.2836085626911533,0.13333333333333333
70,1.3835437881873887,0.038461538461538464
80,1.1835066258919742,0.08695652173913043
90,1.1030988786952332,0.15
100,1.123710499490338,0.1111111111111111
150,0.9022018348624083,0.0
200,0.5326046986721096,0.2222222222222222
250,0.6617107942973437,0.0
300,0.6212219959266729,0.0


modeling cost,model size
31.41388726234436,843
interval,error,accuracy
20,2.113179074446643,0.26666666666666666
30,1.6365558912386948,0.23333333333333334
40,1.3780060422960911,0.24444444444444444
50,1.279879032258064,0.1388888888888889
60,1.2778830645161197,0.13333333333333333
70,1.2382762096774176,0.11538461538461539
80,1.1772177419354808,0.17391304347826086
90,1.0985483870967698,0.15
100,1.1205241935483876,0.1111111111111111
150,1.1770938446014245,0.0
200,0.7561212121212151,0.1111111111111111
250,0.6604065040650404,0.0
300,0.6205691056910556,0.0


modeling cost,model size
9.958540916442871,562
interval,error,accuracy
20,4.7710376398777825,0.2222222222222222
30,3.6716496945009816,0.23333333333333334
40,3.130753564154757,0.23333333333333334
50,3.170947046843219,0.19444444444444445
60,2.89333333333337,0.06666666666666667
70,2.7706924643584703,0.038461538461538464
80,2.674036697247745,0.06666666666666667
90,2.433221202854263,0.125
100,2.4535881753313227,0.05555555555555555
110,2.4526911314984883,0.06060606060606061
120,2.093669724770665,0.03333333333333333
130,1.8934658511722962,0.14285714285714285
140,1.8116717635066522,0.11538461538461539
150,2.054036697247728,0.041666666666666664
200,1.5928089887640322,0.1111111111111111
250,1.3508146639511125,0.06666666666666667
300,1.5108961303462234,0.0


modeling cost,model size
31.995003938674927,843
interval,error,accuracy
20,4.7467203219315035,0.26666666666666666
30,3.658821752265901,0.225
40,3.1220443101712263,0.23333333333333334
50,2.847762096774188,0.16666666666666666
60,2.8829536290322437,0.06666666666666667
70,2.5039818548387043,0.1346153846153846
80,2.6641935483870913,0.1111111111111111
90,2.425120967741929,0.125
100,2.447741935483867,0.05555555555555555
110,2.450040567951307,0.06060606060606061
120,2.0916227180527383,0.06666666666666667
130,1.8914198782961442,0.17857142857142858
140,1.8088235294117538,0.15384615384615385
150,2.4999091826438082,0.08333333333333333
200,1.9223232323232384,0.1111111111111111
250,1.3490243902439012,0.06666666666666667
300,1.5099186991869864,0.0


modeling cost,model size
269.8219983577728,1686
interval,error,accuracy
20,4.6887695312499975,0.2722222222222222
30,3.6264648437500036,0.23333333333333334
40,3.100488281250005,0.24444444444444444
50,2.836920821114374,0.16666666666666666
60,2.570391006842632,0.18333333333333332
70,2.4835449218750014,0.1346153846153846
80,2.440605468750002,0.1111111111111111
90,2.232609970674522,0.175
100,2.319155206286821,0.05555555555555555
110,2.310127701375233,0.09090909090909091
120,1.9857563850687647,0.06666666666666667
130,1.8082352941176492,0.07142857142857142
140,2.4399091826438024,0.0
150,2.4999091826438082,0.08333333333333333
200,1.9223232323232384,0.1111111111111111
