modeling cost,model size
9.936447620391846,562
6,3.4857317073170275,0.9966666666666667
7,3.0844308943089,0.9922480620155039
modeling cost,model size
0.01863551139831543,28
interval,error,accuracy
20,2.1236382113820884,0.23333333333333334


modeling cost,model size
0.017183780670166016,28
interval,error,accuracy
20,2.1236382113820884,0.23333333333333334


modeling cost,model size
0.018945932388305664,28
interval,error,accuracy
20,2.1236382113820884,0.23333333333333334


modeling cost,model size
0.031896114349365234,28
interval,error,accuracy
20,2.1236382113820884,0.23333333333333334


modeling cost,model size
0.028172731399536133,28
interval,error,accuracy
20,2.1236382113820884,0.23333333333333334


modeling cost,model size
0.08677482604980469,28
interval,error,accuracy
1,7.799999999999999,0.9338888888888889
2,4.620000000000003,0.91
3,6.268020304568834,0.51
4,4.9047918781728,0.5244444444444445
5,3.984527918781911,0.5138888888888888
10,2.2834451219512015,0.48333333333333334
15,2.561969543147166,0.275
20,2.1236382113820884,0.23333333333333334


modeling cost,model size
0.005975008010864258,28
interval,error,accuracy
