modeling cost,model size,predict size
0.017950773239135742,6,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.2839348931841187,0.5833333333333334
4,0.272224032586556,0.43333333333333335


modeling cost,model size,predict size
0.0032646656036376953,7,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.272224032586556,0.43333333333333335


modeling cost,model size,predict size
0.020865201950073242,7,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.272224032586556,0.43333333333333335


modeling cost,model size,predict size
0.004960060119628906,8,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.27209359104780295,0.5583333333333333


modeling cost,model size,predict size
0.003490447998046875,9,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.27209359104780295,0.5583333333333333


modeling cost,model size,predict size
0.003295421600341797,12,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.27209359104780295,0.5583333333333333


modeling cost,model size,predict size
0.0049440860748291016,14,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.17999999999999935,0.8666666666666667


modeling cost,model size,predict size
0.0039675235748291016,16,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.17999999999999935,0.8666666666666667


modeling cost,model size,predict size
0.004992485046386719,18,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.17999999999999935,0.8666666666666667


modeling cost,model size,predict size
0.004988908767700195,21,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.17999999999999935,0.8666666666666667


modeling cost,model size,predict size
0.018056869506835938,23,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.1519999999999996,0.8833333333333333
4,0.2719796747967454,0.6


modeling cost,model size,predict size
0.006476640701293945,26,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.2836223350253878,0.65
4,0.27187817258883695,0.6


modeling cost,model size,predict size
0.008432626724243164,28,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.2836223350253878,0.65
4,0.27187817258883695,0.6


modeling cost,model size,predict size
0.028381824493408203,30,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.28348478701825713,0.6583333333333333
4,0.27187817258883695,0.6


modeling cost,model size,predict size
0.030791282653808594,33,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.006974220275878906,35,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.007551908493041992,37,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.007988691329956055,40,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.008459806442260742,42,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.1480000000000004,0.8583333333333333
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.021844148635864258,44,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.2915375253549726,0.65
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.011903524398803711,46,5
point,error,accuracy
0,0.10999999999999907,0.95
1,0.13999999999999985,0.9166666666666666
2,0.2915375253549726,0.65
3,0.28348478701825713,0.6583333333333333
4,0.2717849898580109,0.6416666666666667


modeling cost,model size,predict size
0.024319171905517578,49,5
point,error,accuracy
0,0.10999999999999907,0.95
